18211;0.02;-0.01;1.00;2.68
18212;0.01;-0.00;1.00;2.85
18213;0.01;-0.01;1.00;2.94
18214;0.02;-0.01;1.01;2.60
18215;0.02;-0.01;1.00;2.77
18216;0.01;-0.01;1.00;2.35
18217;0.01;-0.00;1.00;1.85
18218;0.01;-0.00;1.00;2.43
18219;0.02;-0.00;1.00;2.10
18220;0.02;-0.00;1.00;2.60
18221;0.01;-0.01;1.00;2.85
18222;0.02;-0.00;1.01;2.85
18223;0.01;-0.00;1.00;2.18
18224;0.01;-0.00;1.00;2.77
18225;0.02;-0.01;1.00;2.43
18226;0.02;-0.00;1.00;2.52
18227;0.02;-0.01;1.00;2.43
18228;0.01;-0.00;1.01;2.35
18229;0.02;-0.00;1.00;2.10
18230;0.02;-0.01;1.01;2.35
18231;0.01;-0.01;1.00;2.43
18232;0.01;-0.01;1.00;2.77
18233;0.01;-0.01;1.00;2.18
18234;0.01;-0.01;1.00;2.52
18235;0.01;-0.00;1.00;3.27
18236;0.02;-0.00;1.00;2.77
18237;0.01;-0.01;1.00;2.18
18238;0.02;-0.01;1.00;2.35
18239;0.01;-0.01;1.00;2.18
18240;0.01;-0.00;1.00;2.43
18241;0.01;-0.01;1.01;2.77
18242;0.02;-0.00;1.00;1.76
18243;0.01;-0.00;1.00;2.43
18244;0.02;-0.00;1.00;2.26
18245;0.02;-0.01;1.00;2.60
18246;0.02;-0.01;1.00;2.43
18247;0.01;-0.00;1.00;2.60
18248;0.01;-0.00;1.01;2.60
18249;0.01;-0.00;1.00;2.60
18250;0.02;-0.00;1.00;2.43
18251;0.01;-0.01;1.00;2.77
18252;0.02;-0.01;1.00;2.43
18253;0.01;-0.01;1.00;2.68
18254;0.01;-0.01;1.00;2.68
18255;0.01;-0.01;1.00;2.52
18256;0.01;-0.01;1.00;2.43
18257;0.01;-0.00;1.00;2.43
18258;0.01;-0.00;1.00;2.85
18259;0.01;-0.00;1.00;2.94
18260;0.01;-0.00;1.01;2.52
18261;0.02;-0.01;1.00;2.68
18262;0.01;-0.00;1.01;2.10
18263;0.01;-0.00;1.00;2.35
18264;0.01;-0.00;1.00;2.77
18265;0.01;-0.00;1.00;2.52
18266;0.01;-0.01;1.00;2.94
18267;0.01;-0.01;1.00;2.68
